timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741313216589,1164,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1690,text,false,,462,357,2536,2536,http://localhost:9090/transaction/getStockTransactions,1164,0,0
1741313216573,1180,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1129,text,false,,462,353,2536,2536,http://localhost:9090/transaction/getStockTransactions,1180,0,0
1741313216586,1166,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2438,text,false,,462,357,2536,2536,http://localhost:9090/transaction/getStockTransactions,1166,0,0
1741313217795,293,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2712,text,false,,462,354,2476,2476,http://localhost:9090/transaction/getStockTransactions,293,0,0
1741313216516,1237,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2950,text,false,,462,356,2536,2536,http://localhost:9090/transaction/getStockTransactions,1237,0,0
1741313216557,1362,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1346,text,false,,462,358,2547,2547,http://localhost:9090/transaction/getStockTransactions,1362,0,0
1741313216102,1832,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1898,text,false,,462,357,2553,2553,http://localhost:9090/transaction/getStockTransactions,1832,0,0
1741313216574,1358,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1373,text,false,,462,357,2551,2551,http://localhost:9090/transaction/getStockTransactions,1358,0,0
1741313214973,3019,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2050,text,false,,462,358,2588,2588,http://localhost:9090/transaction/getStockTransactions,3019,0,0
1741313216075,1677,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2784,text,false,,462,353,2536,2536,http://localhost:9090/transaction/getStockTransactions,1649,0,0
1741313215647,2105,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1423,text,false,,462,354,2536,2536,http://localhost:9090/transaction/getStockTransactions,2105,0,0
1741313216110,1641,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1620,text,false,,462,358,2536,2536,http://localhost:9090/transaction/getStockTransactions,1641,0,0
1741313214866,3126,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1095,text,false,,462,356,2589,2589,http://localhost:9090/transaction/getStockTransactions,3126,0,0
1741313215738,2254,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2997,text,false,,462,358,2589,2589,http://localhost:9090/transaction/getStockTransactions,2254,0,0
1741313215777,2215,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2488,text,false,,462,358,2589,2589,http://localhost:9090/transaction/getStockTransactions,2215,0,0
1741313215668,2062,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2382,text,false,,462,358,2542,2542,http://localhost:9090/transaction/getStockTransactions,2062,0,0
1741313216581,1169,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1271,text,false,,462,357,2536,2536,http://localhost:9090/transaction/getStockTransactions,1169,0,0
